Time (ns),Atom id,Diffusion Coefficient (cm²/s)
910.0,18,0.261559
910.0,36,0.286023
910.0,63,0.00167564
910.0,88,0.230528
910.0,142,0.00708354
910.0,144,0.262637
910.0,216,0.00666284
910.0,254,0.247209
910.0,271,0.145463
920.0,41,0.242136
920.0,47,0.215221
920.0,63,0.00431076
920.0,84,0.249138
920.0,102,0.313547
920.0,126,0.279607
920.0,163,0.304607
920.0,216,1.25944e-06
920.0,227,0.245166
920.0,243,0.247606
920.0,283,0.315404
930.0,19,0.277913
930.0,63,0.00418381
930.0,69,0.320146
930.0,168,0.11295
930.0,179,0.329163
930.0,195,0.165452
930.0,198,0.299197
930.0,216,3.69139e-06
930.0,256,0.14731
930.0,258,0.202211
930.0,294,0.247055
940.0,26,0.286837
940.0,47,0.0828815
940.0,63,0.0
940.0,97,0.234483
940.0,105,0.25336
940.0,125,1.41472e-06
940.0,137,0.27212
940.0,178,0.100444
940.0,181,0.0669497
940.0,212,0.3343
940.0,242,0.265227
940.0,253,0.208837
940.0,272,0.240425
940.0,277,0.297152
940.0,291,0.111673
950.0,13,0.17223
950.0,27,0.317503
950.0,52,0.235081
950.0,65,0.166944
950.0,73,0.00814704
950.0,82,0.278698
950.0,98,0.206759
950.0,108,0.311678
950.0,122,0.0219793
950.0,165,0.231753
950.0,171,0.304982
950.0,197,0.146317
950.0,216,5.33224e-05
950.0,237,0.334792
950.0,247,0.0566819
950.0,278,0.207027
950.0,282,0.324416
960.0,1,0.16523
960.0,11,0.152228
960.0,62,0.203101
960.0,63,0.000919628
960.0,70,0.0563077
960.0,81,0.0
960.0,125,8.57471e-05
960.0,179,0.332413
960.0,191,0.0328867
960.0,241,0.12917
960.0,276,0.141523
970.0,1,0.201401
970.0,47,0.00522489
970.0,49,0.240836
970.0,64,0.330254
970.0,110,0.16534
970.0,134,0.306084
970.0,216,0.0
980.0,54,0.292392
980.0,92,0.165581
980.0,136,0.285673
980.0,158,0.0975223
980.0,187,0.000709947
980.0,191,0.0107383
980.0,216,5.85003e-06
980.0,262,0.206769
980.0,291,0.311426
990.0,113,0.172358
990.0,118,0.147912
990.0,199,0.326673
990.0,216,4.98715e-06
990.0,223,0.257094
990.0,246,0.315262
990.0,255,0.00168379
990.0,258,0.243652
1000.0,5,0.279402
1000.0,21,0.162682
1000.0,63,0.000838359
1000.0,67,0.105658
1000.0,90,0.0303858
1000.0,94,0.238665
1000.0,170,0.102652
