Time (ns),id,Diffusion Coefficient (cm²/s),Atom id
740.0,,1.26712e-05,216.0
740.0,,0.0998031,233.0
740.0,,0.27758,239.0
740.0,,0.167358,240.0
740.0,,0.20533,283.0
750.0,,0.00031376,63.0
750.0,,0.213961,68.0
750.0,,0.105967,80.0
750.0,,0.282106,82.0
750.0,,6.37998e-05,125.0
750.0,,0.255449,167.0
750.0,,0.299083,185.0
750.0,,0.203777,224.0
750.0,,0.218497,227.0
750.0,,0.125581,244.0
750.0,,0.279636,268.0
760.0,,0.183222,25.0
760.0,,0.000244985,42.0
760.0,,0.301444,60.0
760.0,,0.00320944,73.0
760.0,,0.0704473,84.0
760.0,,0.191368,86.0
760.0,,0.2064,132.0
760.0,,0.295314,167.0
760.0,,0.310134,189.0
760.0,,0.292422,194.0
760.0,,5.31795e-05,216.0
760.0,,0.0530503,230.0
760.0,,0.182439,259.0
760.0,,0.146894,281.0
760.0,,0.0638492,286.0
770.0,,0.155416,36.0
770.0,,0.27217,68.0
770.0,,0.00198005,73.0
770.0,,0.0785981,115.0
770.0,,0.113372,118.0
770.0,,0.283657,124.0
770.0,,0.260037,200.0
770.0,,7.23836e-05,216.0
770.0,,0.246816,217.0
770.0,,0.251494,279.0
780.0,,0.203248,8.0
780.0,,0.24594,68.0
780.0,,0.00169066,73.0
780.0,,0.0208504,78.0
780.0,,0.141197,84.0
780.0,,0.142659,92.0
780.0,,0.0943999,117.0
780.0,,0.0536067,125.0
780.0,,0.217103,144.0
780.0,,0.232034,155.0
780.0,,0.273533,187.0
780.0,,0.280126,198.0
780.0,,3.73212e-05,216.0
780.0,,0.000637475,240.0
780.0,,0.0605348,245.0
