Time (ns),Atom id,Diffusion Coefficient (cm²/s)
480.0,60,0.205872
480.0,97,0.000750393
480.0,136,0.0844721
480.0,149,0.217179
480.0,162,0.194476
480.0,168,0.0
480.0,169,0.236044
480.0,184,0.283062
480.0,240,0.0851764
480.0,265,0.268691
480.0,281,0.0519316
480.0,284,0.265808
490.0,41,0.183611
490.0,42,0.048454
490.0,46,0.000318565
490.0,65,0.140572
490.0,94,0.127226
490.0,97,0.000415058
490.0,110,0.225036
490.0,112,0.107746
490.0,157,0.235054
490.0,232,0.254036
490.0,255,0.240727
500.0,46,0.00433441
500.0,65,0.0367225
500.0,92,0.213203
500.0,97,0.00230035
500.0,98,0.327511
500.0,106,0.0490783
500.0,122,0.21629
500.0,160,0.162499
500.0,167,0.241242
500.0,168,0.000275195
500.0,233,0.250665
500.0,242,0.0597017
500.0,245,0.237797
500.0,247,0.249659
500.0,251,0.0623163
500.0,271,0.140116
510.0,46,0.00950029
510.0,93,0.271818
510.0,97,0.00254756
510.0,168,0.00481851
510.0,188,0.326681
510.0,201,0.00115359
510.0,206,0.0
510.0,224,0.327709
510.0,266,0.133946
510.0,284,0.195942
520.0,60,0.280225
520.0,67,0.299111
520.0,72,0.247278
520.0,93,0.224836
520.0,94,0.0577699
520.0,105,0.319079
520.0,131,0.0539742
520.0,144,0.312536
520.0,159,0.323189
520.0,166,0.230307
520.0,170,0.267464
520.0,210,0.197373
520.0,279,0.167882
530.0,4,0.274582
530.0,46,0.00110169
530.0,97,0.000412822
530.0,168,0.002377
530.0,245,0.000979121
530.0,246,0.0360277
530.0,261,0.0
530.0,266,0.29876
530.0,280,0.174038
540.0,31,0.288031
540.0,36,0.159258
540.0,46,0.00785521
540.0,84,0.225455
540.0,91,0.0915352
540.0,94,0.22889
540.0,97,0.000175398
540.0,128,0.106819
540.0,155,0.0237177
540.0,167,0.13201
540.0,168,0.00614916
540.0,195,0.232363
540.0,257,0.323264
540.0,284,0.185682
550.0,37,0.165757
550.0,40,0.102059
550.0,46,0.00010172
550.0,97,0.000497471
550.0,98,0.0105471
550.0,100,0.331795
550.0,130,0.286514
550.0,168,0.0
550.0,180,0.284958
550.0,201,0.266767
550.0,205,0.220679
550.0,236,0.239448
550.0,245,0.287367
550.0,252,0.174393
550.0,262,0.206054
550.0,280,0.143495
560.0,1,0.279861
560.0,15,0.00183887
560.0,18,0.0387222
560.0,29,0.213026
560.0,34,0.217308
560.0,55,0.260921
560.0,65,0.103563
560.0,71,0.207243
560.0,78,0.103485
560.0,97,0.0012771
560.0,102,0.180881
560.0,163,0.216952
560.0,168,0.0105214
560.0,175,0.0660502
560.0,188,0.206468
560.0,231,0.270178
560.0,232,0.0921995
560.0,286,0.191371
570.0,3,0.0
570.0,22,0.000542163
570.0,46,0.00999782
570.0,97,0.00315783
570.0,113,0.287003
570.0,156,0.299864
570.0,168,0.00591713
570.0,245,0.0
570.0,273,0.228703
580.0,45,0.191565
580.0,62,0.0044033
580.0,73,0.267416
580.0,108,0.274991
580.0,141,0.292844
580.0,145,0.271065
580.0,168,0.00412218
580.0,173,0.144447
580.0,209,0.153643
580.0,224,0.0352737
580.0,237,0.113344
580.0,247,0.139019
580.0,271,0.00146995
590.0,46,0.00231383
590.0,97,0.000699497
590.0,114,0.209364
590.0,132,0.0
590.0,135,0.289014
590.0,160,0.263642
590.0,162,0.239544
590.0,168,0.00183914
590.0,198,0.120883
590.0,245,0.018303
590.0,283,0.261354
590.0,288,0.098827
600.0,6,0.316517
600.0,32,0.311322
600.0,46,0.0
600.0,56,0.0499879
600.0,61,0.312149
600.0,92,0.29859
600.0,97,0.00121225
600.0,150,0.242907
600.0,154,0.157301
600.0,168,0.00499346
600.0,195,0.175047
600.0,236,0.259095
600.0,241,0.199075
600.0,247,0.21882
600.0,267,0.235319
600.0,282,0.209108
610.0,15,0.195824
610.0,46,0.00835058
610.0,58,0.265706
610.0,67,0.309983
610.0,71,0.127975
610.0,78,0.211804
610.0,82,0.0579097
610.0,83,0.0842781
610.0,97,0.000145585
610.0,103,0.285802
610.0,168,0.0130363
610.0,188,0.249485
610.0,194,0.279021
620.0,21,0.0
620.0,37,0.23059
620.0,42,0.233773
620.0,83,0.331689
620.0,97,0.000122984
620.0,196,0.295236
620.0,210,0.100709
620.0,233,0.332258
620.0,237,0.163315
620.0,240,0.0348271
620.0,253,0.285085
630.0,5,0.314509
630.0,25,0.0819523
630.0,47,0.184626
630.0,97,0.0012377
630.0,130,0.189668
630.0,144,0.316733
630.0,176,0.19637
640.0,24,0.0213376
640.0,36,0.221396
640.0,66,0.209876
640.0,97,0.00196918
640.0,117,0.325063
640.0,134,0.190666
640.0,156,0.272121
640.0,168,0.00863557
640.0,224,0.144465
640.0,234,0.142238
640.0,240,0.308732
640.0,252,0.325202
640.0,271,0.132361
650.0,11,0.0240127
650.0,23,0.209814
650.0,46,0.00962305
650.0,50,0.264888
650.0,95,0.276325
650.0,97,0.000124354
650.0,108,0.303151
650.0,124,0.317706
650.0,157,0.203068
650.0,158,0.303779
650.0,167,0.273276
650.0,168,0.00202529
650.0,170,0.28226
